CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
1;01/01/2019;8; R$ 2.300,00 ;3; R$ 6.900,00 
2;01/01/2019;11; R$ 1.322,00 ;4; R$ 5.288,00 
3;01/01/2019;10; R$ 1.199,00 ;2; R$ 2.398,00 
4;01/01/2019;15; R$ 750,00 ;1; R$ 750,00 
5;01/01/2019;29; R$ 85,00 ;2; R$ 170,00 
6;01/01/2019;4; R$ 799,90 ;4; R$ 3.199,60 
7;01/01/2019;11; R$ 1.322,00 ;1; R$ 1.322,00 
8;01/01/2019;3; R$ 1.099,00 ;1; R$ 1.099,00 
9;01/01/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
10;01/01/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
11;01/01/2019;32; R$ 2.400,00 ;2; R$ 4.800,00 
12;01/01/2019;27; R$ 120,00 ;3; R$ 360,00 
13;02/01/2019;18; R$ 335,00 ;2; R$ 670,00 
14;02/01/2019;14; R$ 830,00 ;1; R$ 830,00 
15;02/01/2019;8; R$ 2.300,00 ;4; R$ 9.200,00 
16;02/01/2019;23; R$ 800,00 ;2; R$ 1.600,00 
17;02/01/2019;19; R$ 334,00 ;4; R$ 1.336,00 
18;02/01/2019;8; R$ 2.300,00 ;3; R$ 6.900,00 
19;02/01/2019;15; R$ 750,00 ;4; R$ 3.000,00 
20;02/01/2019;25; R$ 180,00 ;5; R$ 900,00 
21;02/01/2019;9; R$ 1.899,00 ;3; R$ 5.697,00 
22;02/01/2019;9; R$ 1.899,00 ;4; R$ 7.596,00 
23;02/01/2019;12; R$ 4.500,00 ;1; R$ 4.500,00 
24;02/01/2019;5; R$ 899,90 ;3; R$ 2.699,70 
25;03/01/2019;2; R$ 1.899,50 ;1; R$ 1.899,50 
26;03/01/2019;19; R$ 334,00 ;2; R$ 668,00 
27;03/01/2019;14; R$ 830,00 ;5; R$ 4.150,00 
28;03/01/2019;9; R$ 1.899,00 ;2; R$ 3.798,00 
29;03/01/2019;11; R$ 1.322,00 ;4; R$ 5.288,00 
30;03/01/2019;17; R$ 1.340,00 ;2; R$ 2.680,00 
31;03/01/2019;19; R$ 334,00 ;2; R$ 668,00 
32;03/01/2019;15; R$ 750,00 ;4; R$ 3.000,00 
33;03/01/2019;11; R$ 1.322,00 ;5; R$ 6.610,00 
34;03/01/2019;28; R$ 180,00 ;3; R$ 540,00 
35;03/01/2019;17; R$ 1.340,00 ;5; R$ 6.700,00 
36;03/01/2019;8; R$ 2.300,00 ;2; R$ 4.600,00 
37;04/01/2019;14; R$ 830,00 ;3; R$ 2.490,00 
38;04/01/2019;15; R$ 750,00 ;5; R$ 3.750,00 
39;04/01/2019;5; R$ 899,90 ;1; R$ 899,90 
40;04/01/2019;5; R$ 899,90 ;5; R$ 4.499,50 
41;04/01/2019;3; R$ 1.099,00 ;3; R$ 3.297,00 
42;04/01/2019;2; R$ 1.899,50 ;1; R$ 1.899,50 
43;04/01/2019;18; R$ 335,00 ;4; R$ 1.340,00 
44;04/01/2019;10; R$ 1.199,00 ;4; R$ 4.796,00 
45;04/01/2019;22; R$ 1.150,00 ;1; R$ 1.150,00 
46;04/01/2019;28; R$ 180,00 ;1; R$ 180,00 
47;04/01/2019;3; R$ 1.099,00 ;5; R$ 5.495,00 
48;04/01/2019;5; R$ 899,90 ;1; R$ 899,90 
49;05/01/2019;17; R$ 1.340,00 ;4; R$ 5.360,00 
50;05/01/2019;10; R$ 1.199,00 ;3; R$ 3.597,00 
51;05/01/2019;19; R$ 334,00 ;4; R$ 1.336,00 
52;05/01/2019;20; R$ 4.500,00 ;5; R$ 22.500,00 
53;05/01/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
54;05/01/2019;22; R$ 1.150,00 ;1; R$ 1.150,00 
55;05/01/2019;1; R$ 1.499,50 ;5; R$ 7.497,50 
56;05/01/2019;13; R$ 3.200,00 ;5; R$ 16.000,00 
57;05/01/2019;5; R$ 899,90 ;1; R$ 899,90 
58;05/01/2019;18; R$ 335,00 ;5; R$ 1.675,00 
59;05/01/2019;24; R$ 480,00 ;5; R$ 2.400,00 
60;05/01/2019;20; R$ 4.500,00 ;4; R$ 18.000,00 
61;06/01/2019;8; R$ 2.300,00 ;3; R$ 6.900,00 
62;06/01/2019;32; R$ 2.400,00 ;4; R$ 9.600,00 
63;06/01/2019;16; R$ 790,00 ;5; R$ 3.950,00 
64;06/01/2019;18; R$ 335,00 ;1; R$ 335,00 
65;06/01/2019;29; R$ 85,00 ;4; R$ 340,00 
66;06/01/2019;24; R$ 480,00 ;2; R$ 960,00 
67;06/01/2019;14; R$ 830,00 ;2; R$ 1.660,00 
68;06/01/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
69;06/01/2019;14; R$ 830,00 ;2; R$ 1.660,00 
70;06/01/2019;5; R$ 899,90 ;5; R$ 4.499,50 
71;06/01/2019;24; R$ 480,00 ;4; R$ 1.920,00 
72;06/01/2019;3; R$ 1.099,00 ;2; R$ 2.198,00 
73;07/01/2019;27; R$ 120,00 ;5; R$ 600,00 
74;07/01/2019;19; R$ 334,00 ;2; R$ 668,00 
75;07/01/2019;18; R$ 335,00 ;5; R$ 1.675,00 
76;07/01/2019;32; R$ 2.400,00 ;3; R$ 7.200,00 
77;07/01/2019;20; R$ 4.500,00 ;4; R$ 18.000,00 
78;07/01/2019;17; R$ 1.340,00 ;4; R$ 5.360,00 
79;07/01/2019;25; R$ 180,00 ;2; R$ 360,00 
80;07/01/2019;32; R$ 2.400,00 ;1; R$ 2.400,00 
81;07/01/2019;21; R$ 360,00 ;3; R$ 1.080,00 
82;07/01/2019;30; R$ 515,00 ;2; R$ 1.030,00 
83;07/01/2019;7; R$ 1.200,00 ;2; R$ 2.400,00 
84;07/01/2019;24; R$ 480,00 ;4; R$ 1.920,00 
85;08/01/2019;13; R$ 3.200,00 ;5; R$ 16.000,00 
86;08/01/2019;22; R$ 1.150,00 ;3; R$ 3.450,00 
87;08/01/2019;7; R$ 1.200,00 ;3; R$ 3.600,00 
88;08/01/2019;16; R$ 790,00 ;2; R$ 1.580,00 
89;08/01/2019;31; R$ 2.300,00 ;1; R$ 2.300,00 
90;08/01/2019;24; R$ 480,00 ;2; R$ 960,00 
91;08/01/2019;5; R$ 899,90 ;5; R$ 4.499,50 
92;08/01/2019;21; R$ 360,00 ;1; R$ 360,00 
93;08/01/2019;5; R$ 899,90 ;4; R$ 3.599,60 
94;08/01/2019;32; R$ 2.400,00 ;5; R$ 12.000,00 
95;08/01/2019;1; R$ 1.499,50 ;4; R$ 5.998,00 
96;08/01/2019;2; R$ 1.899,50 ;5; R$ 9.497,50 
97;09/01/2019;16; R$ 790,00 ;1; R$ 790,00 
98;09/01/2019;24; R$ 480,00 ;5; R$ 2.400,00 
99;09/01/2019;8; R$ 2.300,00 ;2; R$ 4.600,00 
100;09/01/2019;14; R$ 830,00 ;3; R$ 2.490,00 
101;09/01/2019;20; R$ 4.500,00 ;5; R$ 22.500,00 
102;09/01/2019;19; R$ 334,00 ;5; R$ 1.670,00 
103;09/01/2019;17; R$ 1.340,00 ;5; R$ 6.700,00 
104;09/01/2019;19; R$ 334,00 ;3; R$ 1.002,00 
105;09/01/2019;11; R$ 1.322,00 ;5; R$ 6.610,00 
106;09/01/2019;15; R$ 750,00 ;5; R$ 3.750,00 
107;09/01/2019;22; R$ 1.150,00 ;1; R$ 1.150,00 
108;09/01/2019;26; R$ 225,00 ;3; R$ 675,00 
109;10/01/2019;4; R$ 799,90 ;1; R$ 799,90 
110;10/01/2019;20; R$ 4.500,00 ;1; R$ 4.500,00 
111;10/01/2019;24; R$ 480,00 ;4; R$ 1.920,00 
112;10/01/2019;14; R$ 830,00 ;1; R$ 830,00 
113;10/01/2019;7; R$ 1.200,00 ;1; R$ 1.200,00 
114;10/01/2019;28; R$ 180,00 ;5; R$ 900,00 
115;10/01/2019;30; R$ 515,00 ;5; R$ 2.575,00 
116;10/01/2019;27; R$ 120,00 ;2; R$ 240,00 
117;10/01/2019;27; R$ 120,00 ;3; R$ 360,00 
118;10/01/2019;3; R$ 1.099,00 ;2; R$ 2.198,00 
119;10/01/2019;20; R$ 4.500,00 ;5; R$ 22.500,00 
120;10/01/2019;17; R$ 1.340,00 ;1; R$ 1.340,00 
121;11/01/2019;26; R$ 225,00 ;1; R$ 225,00 
122;11/01/2019;7; R$ 1.200,00 ;3; R$ 3.600,00 
123;11/01/2019;27; R$ 120,00 ;2; R$ 240,00 
124;11/01/2019;15; R$ 750,00 ;5; R$ 3.750,00 
125;11/01/2019;28; R$ 180,00 ;5; R$ 900,00 
