CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
373;01/02/2019;24; R$ 480,00 ;4; R$ 1.920,00 
374;01/02/2019;8; R$ 2.300,00 ;3; R$ 6.900,00 
375;01/02/2019;16; R$ 790,00 ;4; R$ 3.160,00 
376;01/02/2019;22; R$ 1.150,00 ;3; R$ 3.450,00 
377;01/02/2019;32; R$ 2.400,00 ;2; R$ 4.800,00 
378;01/02/2019;11; R$ 1.322,00 ;4; R$ 5.288,00 
379;01/02/2019;11; R$ 1.322,00 ;4; R$ 5.288,00 
380;01/02/2019;8; R$ 2.300,00 ;3; R$ 6.900,00 
381;01/02/2019;12; R$ 4.500,00 ;2; R$ 9.000,00 
382;01/02/2019;6; R$ 1.190,50 ;1; R$ 1.190,50 
383;01/02/2019;10; R$ 1.199,00 ;5; R$ 5.995,00 
384;01/02/2019;23; R$ 800,00 ;1; R$ 800,00 
385;02/02/2019;18; R$ 335,00 ;4; R$ 1.340,00 
386;02/02/2019;24; R$ 480,00 ;5; R$ 2.400,00 
387;02/02/2019;22; R$ 1.150,00 ;3; R$ 3.450,00 
388;02/02/2019;11; R$ 1.322,00 ;1; R$ 1.322,00 
389;02/02/2019;14; R$ 830,00 ;4; R$ 3.320,00 
390;02/02/2019;25; R$ 180,00 ;2; R$ 360,00 
391;02/02/2019;12; R$ 4.500,00 ;1; R$ 4.500,00 
392;02/02/2019;32; R$ 2.400,00 ;3; R$ 7.200,00 
393;02/02/2019;20; R$ 4.500,00 ;3; R$ 13.500,00 
394;02/02/2019;31; R$ 2.300,00 ;4; R$ 9.200,00 
395;02/02/2019;20; R$ 4.500,00 ;1; R$ 4.500,00 
396;02/02/2019;3; R$ 1.099,00 ;1; R$ 1.099,00 
397;03/02/2019;10; R$ 1.199,00 ;2; R$ 2.398,00 
398;03/02/2019;32; R$ 2.400,00 ;3; R$ 7.200,00 
399;03/02/2019;26; R$ 225,00 ;5; R$ 1.125,00 
400;03/02/2019;5; R$ 899,90 ;5; R$ 4.499,50 
401;03/02/2019;8; R$ 2.300,00 ;4; R$ 9.200,00 
402;03/02/2019;29; R$ 85,00 ;5; R$ 425,00 
403;03/02/2019;4; R$ 799,90 ;3; R$ 2.399,70 
404;03/02/2019;5; R$ 899,90 ;3; R$ 2.699,70 
405;03/02/2019;23; R$ 800,00 ;3; R$ 2.400,00 
406;03/02/2019;17; R$ 1.340,00 ;1; R$ 1.340,00 
407;03/02/2019;28; R$ 180,00 ;1; R$ 180,00 
408;03/02/2019;24; R$ 480,00 ;5; R$ 2.400,00 
409;04/02/2019;3; R$ 1.099,00 ;2; R$ 2.198,00 
410;04/02/2019;6; R$ 1.190,50 ;2; R$ 2.381,00 
411;04/02/2019;26; R$ 225,00 ;5; R$ 1.125,00 
412;04/02/2019;12; R$ 4.500,00 ;5; R$ 22.500,00 
413;04/02/2019;23; R$ 800,00 ;1; R$ 800,00 
414;04/02/2019;10; R$ 1.199,00 ;1; R$ 1.199,00 
415;04/02/2019;14; R$ 830,00 ;4; R$ 3.320,00 
416;04/02/2019;12; R$ 4.500,00 ;1; R$ 4.500,00 
417;04/02/2019;22; R$ 1.150,00 ;4; R$ 4.600,00 
418;04/02/2019;1; R$ 1.499,50 ;1; R$ 1.499,50 
419;04/02/2019;20; R$ 4.500,00 ;5; R$ 22.500,00 
420;04/02/2019;18; R$ 335,00 ;2; R$ 670,00 
421;05/02/2019;1; R$ 1.499,50 ;5; R$ 7.497,50 
422;05/02/2019;23; R$ 800,00 ;2; R$ 1.600,00 
423;05/02/2019;26; R$ 225,00 ;5; R$ 1.125,00 
424;05/02/2019;12; R$ 4.500,00 ;3; R$ 13.500,00 
425;05/02/2019;30; R$ 515,00 ;3; R$ 1.545,00 
426;05/02/2019;8; R$ 2.300,00 ;1; R$ 2.300,00 
427;05/02/2019;13; R$ 3.200,00 ;3; R$ 9.600,00 
428;05/02/2019;2; R$ 1.899,50 ;5; R$ 9.497,50 
429;05/02/2019;23; R$ 800,00 ;1; R$ 800,00 
430;05/02/2019;25; R$ 180,00 ;1; R$ 180,00 
431;05/02/2019;22; R$ 1.150,00 ;5; R$ 5.750,00 
432;05/02/2019;12; R$ 4.500,00 ;1; R$ 4.500,00 
433;06/02/2019;20; R$ 4.500,00 ;4; R$ 18.000,00 
434;06/02/2019;31; R$ 2.300,00 ;1; R$ 2.300,00 
435;06/02/2019;22; R$ 1.150,00 ;4; R$ 4.600,00 
436;06/02/2019;11; R$ 1.322,00 ;3; R$ 3.966,00 
437;06/02/2019;16; R$ 790,00 ;4; R$ 3.160,00 
438;06/02/2019;19; R$ 334,00 ;2; R$ 668,00 
439;06/02/2019;23; R$ 800,00 ;2; R$ 1.600,00 
440;06/02/2019;4; R$ 799,90 ;3; R$ 2.399,70 
441;06/02/2019;10; R$ 1.199,00 ;3; R$ 3.597,00 
442;06/02/2019;12; R$ 4.500,00 ;1; R$ 4.500,00 
443;06/02/2019;23; R$ 800,00 ;2; R$ 1.600,00 
444;06/02/2019;19; R$ 334,00 ;2; R$ 668,00 
445;07/02/2019;13; R$ 3.200,00 ;1; R$ 3.200,00 
446;07/02/2019;26; R$ 225,00 ;4; R$ 900,00 
447;07/02/2019;20; R$ 4.500,00 ;3; R$ 13.500,00 
448;07/02/2019;25; R$ 180,00 ;3; R$ 540,00 
449;07/02/2019;16; R$ 790,00 ;4; R$ 3.160,00 
450;07/02/2019;10; R$ 1.199,00 ;2; R$ 2.398,00 
451;07/02/2019;15; R$ 750,00 ;2; R$ 1.500,00 
452;07/02/2019;15; R$ 750,00 ;4; R$ 3.000,00 
