CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
709;01/03/2019;18; R$ 335,00 ;1; R$ 335,00 
710;01/03/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
711;01/03/2019;3; R$ 1.099,00 ;3; R$ 3.297,00 
712;01/03/2019;1; R$ 1.499,50 ;3; R$ 4.498,50 
713;01/03/2019;7; R$ 1.200,00 ;5; R$ 6.000,00 
714;01/03/2019;16; R$ 790,00 ;2; R$ 1.580,00 
715;01/03/2019;6; R$ 1.190,50 ;2; R$ 2.381,00 
716;01/03/2019;19; R$ 334,00 ;4; R$ 1.336,00 
717;01/03/2019;30; R$ 515,00 ;4; R$ 2.060,00 
718;01/03/2019;18; R$ 335,00 ;2; R$ 670,00 
719;01/03/2019;11; R$ 1.322,00 ;5; R$ 6.610,00 
720;01/03/2019;26; R$ 225,00 ;5; R$ 1.125,00 
721;02/03/2019;13; R$ 3.200,00 ;4; R$ 12.800,00 
722;02/03/2019;29; R$ 85,00 ;4; R$ 340,00 
723;02/03/2019;8; R$ 2.300,00 ;5; R$ 11.500,00 
724;02/03/2019;5; R$ 899,90 ;2; R$ 1.799,80 
725;02/03/2019;29; R$ 85,00 ;1; R$ 85,00 
726;02/03/2019;12; R$ 4.500,00 ;2; R$ 9.000,00 
727;02/03/2019;10; R$ 1.199,00 ;2; R$ 2.398,00 
728;02/03/2019;14; R$ 830,00 ;3; R$ 2.490,00 
729;02/03/2019;15; R$ 750,00 ;5; R$ 3.750,00 
730;02/03/2019;27; R$ 120,00 ;5; R$ 600,00 
731;02/03/2019;4; R$ 799,90 ;1; R$ 799,90 
732;02/03/2019;2; R$ 1.899,50 ;2; R$ 3.799,00 
733;03/03/2019;28; R$ 180,00 ;5; R$ 900,00 
734;03/03/2019;2; R$ 1.899,50 ;5; R$ 9.497,50 
735;03/03/2019;31; R$ 2.300,00 ;2; R$ 4.600,00 
736;03/03/2019;7; R$ 1.200,00 ;3; R$ 3.600,00 
737;03/03/2019;25; R$ 180,00 ;4; R$ 720,00 
738;03/03/2019;26; R$ 225,00 ;3; R$ 675,00 
739;03/03/2019;2; R$ 1.899,50 ;4; R$ 7.598,00 
740;03/03/2019;30; R$ 515,00 ;1; R$ 515,00 
741;03/03/2019;28; R$ 180,00 ;2; R$ 360,00 
742;03/03/2019;15; R$ 750,00 ;3; R$ 2.250,00 
743;03/03/2019;8; R$ 2.300,00 ;1; R$ 2.300,00 
744;03/03/2019;15; R$ 750,00 ;2; R$ 1.500,00 
745;04/03/2019;6; R$ 1.190,50 ;4; R$ 4.762,00 
746;04/03/2019;14; R$ 830,00 ;5; R$ 4.150,00 
747;04/03/2019;21; R$ 360,00 ;1; R$ 360,00 
748;04/03/2019;17; R$ 1.340,00 ;2; R$ 2.680,00 
749;04/03/2019;32; R$ 2.400,00 ;3; R$ 7.200,00 
750;04/03/2019;25; R$ 180,00 ;4; R$ 720,00 
751;04/03/2019;25; R$ 180,00 ;2; R$ 360,00 
752;04/03/2019;9; R$ 1.899,00 ;1; R$ 1.899,00 
753;04/03/2019;24; R$ 480,00 ;4; R$ 1.920,00 
754;04/03/2019;27; R$ 120,00 ;1; R$ 120,00 
755;04/03/2019;1; R$ 1.499,50 ;2; R$ 2.999,00 
756;04/03/2019;24; R$ 480,00 ;1; R$ 480,00 
757;05/03/2019;11; R$ 1.322,00 ;2; R$ 2.644,00 
758;05/03/2019;21; R$ 360,00 ;4; R$ 1.440,00 
759;05/03/2019;13; R$ 3.200,00 ;1; R$ 3.200,00 
760;05/03/2019;13; R$ 3.200,00 ;4; R$ 12.800,00 
761;05/03/2019;25; R$ 180,00 ;3; R$ 540,00 
762;05/03/2019;25; R$ 180,00 ;1; R$ 180,00 
763;05/03/2019;27; R$ 120,00 ;4; R$ 480,00 
764;05/03/2019;9; R$ 1.899,00 ;3; R$ 5.697,00 
765;05/03/2019;10; R$ 1.199,00 ;4; R$ 4.796,00 
766;05/03/2019;1; R$ 1.499,50 ;2; R$ 2.999,00 
767;05/03/2019;8; R$ 2.300,00 ;2; R$ 4.600,00 
768;05/03/2019;26; R$ 225,00 ;4; R$ 900,00 
769;06/03/2019;14; R$ 830,00 ;2; R$ 1.660,00 
770;06/03/2019;32; R$ 2.400,00 ;4; R$ 9.600,00 
771;06/03/2019;13; R$ 3.200,00 ;2; R$ 6.400,00 
772;06/03/2019;14; R$ 830,00 ;4; R$ 3.320,00 
773;06/03/2019;19; R$ 334,00 ;2; R$ 668,00 
774;06/03/2019;14; R$ 830,00 ;1; R$ 830,00 
775;06/03/2019;23; R$ 800,00 ;2; R$ 1.600,00 
776;06/03/2019;5; R$ 899,90 ;4; R$ 3.599,60 
777;06/03/2019;30; R$ 515,00 ;1; R$ 515,00 
778;06/03/2019;6; R$ 1.190,50 ;5; R$ 5.952,50 
779;06/03/2019;24; R$ 480,00 ;2; R$ 960,00 
780;06/03/2019;3; R$ 1.099,00 ;5; R$ 5.495,00 
781;07/03/2019;8; R$ 2.300,00 ;2; R$ 4.600,00 
782;07/03/2019;7; R$ 1.200,00 ;3; R$ 3.600,00 
783;07/03/2019;20; R$ 4.500,00 ;3; R$ 13.500,00 
784;07/03/2019;28; R$ 180,00 ;2; R$ 360,00 
785;07/03/2019;15; R$ 750,00 ;3; R$ 2.250,00 
786;07/03/2019;3; R$ 1.099,00 ;5; R$ 5.495,00 
787;07/03/2019;25; R$ 180,00 ;1; R$ 180,00 
788;07/03/2019;29; R$ 85,00 ;1; R$ 85,00 
789;07/03/2019;17; R$ 1.340,00 ;4; R$ 5.360,00 
790;07/03/2019;24; R$ 480,00 ;1; R$ 480,00 
791;07/03/2019;6; R$ 1.190,50 ;1; R$ 1.190,50 
792;07/03/2019;7; R$ 1.200,00 ;2; R$ 2.400,00 
793;08/03/2019;15; R$ 750,00 ;1; R$ 750,00 
794;08/03/2019;23; R$ 800,00 ;2; R$ 1.600,00 
795;08/03/2019;26; R$ 225,00 ;2; R$ 450,00 
796;08/03/2019;7; R$ 1.200,00 ;2; R$ 2.400,00 
797;08/03/2019;13; R$ 3.200,00 ;3; R$ 9.600,00 
798;08/03/2019;27; R$ 120,00 ;5; R$ 600,00 
799;08/03/2019;15; R$ 750,00 ;5; R$ 3.750,00 
800;08/03/2019;14; R$ 830,00 ;3; R$ 2.490,00 
801;08/03/2019;15; R$ 750,00 ;4; R$ 3.000,00 
802;08/03/2019;6; R$ 1.190,50 ;5; R$ 5.952,50 
803;08/03/2019;15; R$ 750,00 ;5; R$ 3.750,00 
804;08/03/2019;22; R$ 1.150,00 ;3; R$ 3.450,00 
805;09/03/2019;20; R$ 4.500,00 ;5; R$ 22.500,00 
806;09/03/2019;8; R$ 2.300,00 ;5; R$ 11.500,00 
807;09/03/2019;4; R$ 799,90 ;2; R$ 1.599,80 
808;09/03/2019;13; R$ 3.200,00 ;5; R$ 16.000,00 
809;09/03/2019;17; R$ 1.340,00 ;4; R$ 5.360,00 
810;09/03/2019;31; R$ 2.300,00 ;1; R$ 2.300,00 
811;09/03/2019;6; R$ 1.190,50 ;5; R$ 5.952,50 
812;09/03/2019;31; R$ 2.300,00 ;3; R$ 6.900,00 
813;09/03/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
814;09/03/2019;6; R$ 1.190,50 ;4; R$ 4.762,00 
815;09/03/2019;24; R$ 480,00 ;4; R$ 1.920,00 
816;09/03/2019;3; R$ 1.099,00 ;1; R$ 1.099,00 
817;10/03/2019;31; R$ 2.300,00 ;1; R$ 2.300,00 
818;10/03/2019;2; R$ 1.899,50 ;2; R$ 3.799,00 
819;10/03/2019;16; R$ 790,00 ;3; R$ 2.370,00 
820;10/03/2019;22; R$ 1.150,00 ;2; R$ 2.300,00 
821;10/03/2019;26; R$ 225,00 ;2; R$ 450,00 
822;10/03/2019;32; R$ 2.400,00 ;5; R$ 12.000,00 
823;10/03/2019;4; R$ 799,90 ;4; R$ 3.199,60 
824;10/03/2019;14; R$ 830,00 ;1; R$ 830,00 
825;10/03/2019;23; R$ 800,00 ;4; R$ 3.200,00 
826;10/03/2019;14; R$ 830,00 ;3; R$ 2.490,00 
827;10/03/2019;14; R$ 830,00 ;4; R$ 3.320,00 
828;10/03/2019;12; R$ 4.500,00 ;3; R$ 13.500,00 
829;11/03/2019;10; R$ 1.199,00 ;4; R$ 4.796,00 
