CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
1081;01/04/2019;17; R$ 1.340,00 ;2; R$ 2.680,00 
1082;01/04/2019;27; R$ 120,00 ;3; R$ 360,00 
1083;01/04/2019;28; R$ 180,00 ;4; R$ 720,00 
1084;01/04/2019;1; R$ 1.499,50 ;4; R$ 5.998,00 
1085;01/04/2019;8; R$ 2.300,00 ;3; R$ 6.900,00 
1086;01/04/2019;4; R$ 799,90 ;3; R$ 2.399,70 
1087;01/04/2019;21; R$ 360,00 ;4; R$ 1.440,00 
1088;01/04/2019;29; R$ 85,00 ;4; R$ 340,00 
1089;01/04/2019;9; R$ 1.899,00 ;2; R$ 3.798,00 
1090;01/04/2019;26; R$ 225,00 ;5; R$ 1.125,00 
1091;01/04/2019;28; R$ 180,00 ;1; R$ 180,00 
1092;01/04/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
1093;02/04/2019;13; R$ 3.200,00 ;1; R$ 3.200,00 
1094;02/04/2019;30; R$ 515,00 ;1; R$ 515,00 
1095;02/04/2019;18; R$ 335,00 ;4; R$ 1.340,00 
1096;02/04/2019;2; R$ 1.899,50 ;1; R$ 1.899,50 
1097;02/04/2019;16; R$ 790,00 ;1; R$ 790,00 
1098;02/04/2019;14; R$ 830,00 ;2; R$ 1.660,00 
1099;02/04/2019;31; R$ 2.300,00 ;3; R$ 6.900,00 
1100;02/04/2019;19; R$ 334,00 ;2; R$ 668,00 
1101;02/04/2019;16; R$ 790,00 ;5; R$ 3.950,00 
1102;02/04/2019;1; R$ 1.499,50 ;3; R$ 4.498,50 
1103;02/04/2019;6; R$ 1.190,50 ;1; R$ 1.190,50 
1104;02/04/2019;19; R$ 334,00 ;1; R$ 334,00 
1105;03/04/2019;13; R$ 3.200,00 ;2; R$ 6.400,00 
1106;03/04/2019;11; R$ 1.322,00 ;5; R$ 6.610,00 
1107;03/04/2019;6; R$ 1.190,50 ;2; R$ 2.381,00 
1108;03/04/2019;1; R$ 1.499,50 ;5; R$ 7.497,50 
1109;03/04/2019;20; R$ 4.500,00 ;2; R$ 9.000,00 
1110;03/04/2019;11; R$ 1.322,00 ;2; R$ 2.644,00 
1111;03/04/2019;9; R$ 1.899,00 ;4; R$ 7.596,00 
1112;03/04/2019;1; R$ 1.499,50 ;2; R$ 2.999,00 
1113;03/04/2019;9; R$ 1.899,00 ;1; R$ 1.899,00 
1114;03/04/2019;23; R$ 800,00 ;5; R$ 4.000,00 
1115;03/04/2019;25; R$ 180,00 ;4; R$ 720,00 
1116;03/04/2019;4; R$ 799,90 ;4; R$ 3.199,60 
1117;04/04/2019;27; R$ 120,00 ;5; R$ 600,00 
1118;04/04/2019;16; R$ 790,00 ;4; R$ 3.160,00 
1119;04/04/2019;29; R$ 85,00 ;1; R$ 85,00 
1120;04/04/2019;13; R$ 3.200,00 ;5; R$ 16.000,00 
1121;04/04/2019;23; R$ 800,00 ;3; R$ 2.400,00 
1122;04/04/2019;4; R$ 799,90 ;5; R$ 3.999,50 
1123;04/04/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
1124;04/04/2019;9; R$ 1.899,00 ;5; R$ 9.495,00 
1125;04/04/2019;5; R$ 899,90 ;4; R$ 3.599,60 
1126;04/04/2019;19; R$ 334,00 ;1; R$ 334,00 
1127;04/04/2019;30; R$ 515,00 ;4; R$ 2.060,00 
1128;04/04/2019;13; R$ 3.200,00 ;3; R$ 9.600,00 
1129;05/04/2019;22; R$ 1.150,00 ;4; R$ 4.600,00 
1130;05/04/2019;16; R$ 790,00 ;5; R$ 3.950,00 
1131;05/04/2019;18; R$ 335,00 ;5; R$ 1.675,00 
1132;05/04/2019;5; R$ 899,90 ;2; R$ 1.799,80 
1133;05/04/2019;14; R$ 830,00 ;4; R$ 3.320,00 
1134;05/04/2019;27; R$ 120,00 ;2; R$ 240,00 
1135;05/04/2019;11; R$ 1.322,00 ;5; R$ 6.610,00 
1136;05/04/2019;10; R$ 1.199,00 ;4; R$ 4.796,00 
1137;05/04/2019;3; R$ 1.099,00 ;2; R$ 2.198,00 
1138;05/04/2019;30; R$ 515,00 ;5; R$ 2.575,00 
1139;05/04/2019;19; R$ 334,00 ;2; R$ 668,00 
1140;05/04/2019;1; R$ 1.499,50 ;1; R$ 1.499,50 
1141;06/04/2019;18; R$ 335,00 ;3; R$ 1.005,00 
1142;06/04/2019;32; R$ 2.400,00 ;3; R$ 7.200,00 
1143;06/04/2019;6; R$ 1.190,50 ;2; R$ 2.381,00 
1144;06/04/2019;2; R$ 1.899,50 ;4; R$ 7.598,00 
1145;06/04/2019;30; R$ 515,00 ;3; R$ 1.545,00 
1146;06/04/2019;9; R$ 1.899,00 ;1; R$ 1.899,00 
1147;06/04/2019;28; R$ 180,00 ;3; R$ 540,00 
1148;06/04/2019;2; R$ 1.899,50 ;1; R$ 1.899,50 
1149;06/04/2019;14; R$ 830,00 ;5; R$ 4.150,00 
1150;06/04/2019;27; R$ 120,00 ;3; R$ 360,00 
1151;06/04/2019;30; R$ 515,00 ;2; R$ 1.030,00 
1152;06/04/2019;6; R$ 1.190,50 ;2; R$ 2.381,00 
1153;07/04/2019;9; R$ 1.899,00 ;3; R$ 5.697,00 
1154;07/04/2019;26; R$ 225,00 ;3; R$ 675,00 
1155;07/04/2019;12; R$ 4.500,00 ;3; R$ 13.500,00 
1156;07/04/2019;5; R$ 899,90 ;2; R$ 1.799,80 
1157;07/04/2019;24; R$ 480,00 ;1; R$ 480,00 
1158;07/04/2019;7; R$ 1.200,00 ;2; R$ 2.400,00 
1159;07/04/2019;10; R$ 1.199,00 ;1; R$ 1.199,00 
1160;07/04/2019;29; R$ 85,00 ;2; R$ 170,00 
1161;07/04/2019;11; R$ 1.322,00 ;3; R$ 3.966,00 
1162;07/04/2019;9; R$ 1.899,00 ;5; R$ 9.495,00 
1163;07/04/2019;14; R$ 830,00 ;2; R$ 1.660,00 
1164;07/04/2019;24; R$ 480,00 ;5; R$ 2.400,00 
1165;08/04/2019;19; R$ 334,00 ;3; R$ 1.002,00 
1166;08/04/2019;26; R$ 225,00 ;5; R$ 1.125,00 
1167;08/04/2019;5; R$ 899,90 ;4; R$ 3.599,60 
1168;08/04/2019;23; R$ 800,00 ;2; R$ 1.600,00 
1169;08/04/2019;22; R$ 1.150,00 ;4; R$ 4.600,00 
1170;08/04/2019;1; R$ 1.499,50 ;1; R$ 1.499,50 
1171;08/04/2019;28; R$ 180,00 ;5; R$ 900,00 
1172;08/04/2019;15; R$ 750,00 ;1; R$ 750,00 
1173;08/04/2019;13; R$ 3.200,00 ;3; R$ 9.600,00 
1174;08/04/2019;1; R$ 1.499,50 ;1; R$ 1.499,50 
1175;08/04/2019;27; R$ 120,00 ;2; R$ 240,00 
1176;08/04/2019;4; R$ 799,90 ;1; R$ 799,90 
1177;09/04/2019;5; R$ 899,90 ;5; R$ 4.499,50 
1178;09/04/2019;11; R$ 1.322,00 ;4; R$ 5.288,00 
1179;09/04/2019;31; R$ 2.300,00 ;1; R$ 2.300,00 
1180;09/04/2019;16; R$ 790,00 ;4; R$ 3.160,00 
1181;09/04/2019;20; R$ 4.500,00 ;1; R$ 4.500,00 
1182;09/04/2019;13; R$ 3.200,00 ;1; R$ 3.200,00 
1183;09/04/2019;23; R$ 800,00 ;2; R$ 1.600,00 
1184;09/04/2019;12; R$ 4.500,00 ;4; R$ 18.000,00 
1185;09/04/2019;15; R$ 750,00 ;3; R$ 2.250,00 
1186;09/04/2019;4; R$ 799,90 ;3; R$ 2.399,70 
1187;09/04/2019;11; R$ 1.322,00 ;1; R$ 1.322,00 
1188;09/04/2019;3; R$ 1.099,00 ;5; R$ 5.495,00 
1189;10/04/2019;31; R$ 2.300,00 ;1; R$ 2.300,00 
1190;10/04/2019;16; R$ 790,00 ;1; R$ 790,00 
1191;10/04/2019;6; R$ 1.190,50 ;3; R$ 3.571,50 
1192;10/04/2019;22; R$ 1.150,00 ;1; R$ 1.150,00 
1193;10/04/2019;5; R$ 899,90 ;4; R$ 3.599,60 
1194;10/04/2019;12; R$ 4.500,00 ;4; R$ 18.000,00 
1195;10/04/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
1196;10/04/2019;32; R$ 2.400,00 ;2; R$ 4.800,00 
1197;10/04/2019;32; R$ 2.400,00 ;1; R$ 2.400,00 
1198;10/04/2019;18; R$ 335,00 ;4; R$ 1.340,00 
1199;10/04/2019;29; R$ 85,00 ;2; R$ 170,00 
1200;10/04/2019;14; R$ 830,00 ;1; R$ 830,00 
1201;11/04/2019;18; R$ 335,00 ;1; R$ 335,00 
