CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
1441;01/05/2019;6; R$ 1.190,50 ;3; R$ 3.571,50 
1442;01/05/2019;2; R$ 1.899,50 ;3; R$ 5.698,50 
1443;01/05/2019;9; R$ 1.899,00 ;2; R$ 3.798,00 
1444;01/05/2019;2; R$ 1.899,50 ;4; R$ 7.598,00 
1445;01/05/2019;22; R$ 1.150,00 ;1; R$ 1.150,00 
1446;01/05/2019;17; R$ 1.340,00 ;3; R$ 4.020,00 
1447;01/05/2019;6; R$ 1.190,50 ;2; R$ 2.381,00 
1448;01/05/2019;5; R$ 899,90 ;2; R$ 1.799,80 
1449;01/05/2019;16; R$ 790,00 ;1; R$ 790,00 
1450;01/05/2019;1; R$ 1.499,50 ;5; R$ 7.497,50 
1451;01/05/2019;25; R$ 180,00 ;1; R$ 180,00 
1452;01/05/2019;13; R$ 3.200,00 ;1; R$ 3.200,00 
1453;02/05/2019;21; R$ 360,00 ;1; R$ 360,00 
1454;02/05/2019;24; R$ 480,00 ;5; R$ 2.400,00 
1455;02/05/2019;27; R$ 120,00 ;2; R$ 240,00 
1456;02/05/2019;20; R$ 4.500,00 ;5; R$ 22.500,00 
1457;02/05/2019;17; R$ 1.340,00 ;3; R$ 4.020,00 
1458;02/05/2019;18; R$ 335,00 ;1; R$ 335,00 
1459;02/05/2019;13; R$ 3.200,00 ;5; R$ 16.000,00 
1460;02/05/2019;11; R$ 1.322,00 ;2; R$ 2.644,00 
1461;02/05/2019;22; R$ 1.150,00 ;3; R$ 3.450,00 
1462;02/05/2019;24; R$ 480,00 ;1; R$ 480,00 
1463;02/05/2019;4; R$ 799,90 ;1; R$ 799,90 
1464;02/05/2019;24; R$ 480,00 ;3; R$ 1.440,00 
1465;03/05/2019;19; R$ 334,00 ;2; R$ 668,00 
1466;03/05/2019;27; R$ 120,00 ;1; R$ 120,00 
1467;03/05/2019;1; R$ 1.499,50 ;4; R$ 5.998,00 
1468;03/05/2019;7; R$ 1.200,00 ;3; R$ 3.600,00 
1469;03/05/2019;2; R$ 1.899,50 ;5; R$ 9.497,50 
1470;03/05/2019;19; R$ 334,00 ;4; R$ 1.336,00 
1471;03/05/2019;25; R$ 180,00 ;3; R$ 540,00 
1472;03/05/2019;29; R$ 85,00 ;3; R$ 255,00 
1473;03/05/2019;13; R$ 3.200,00 ;1; R$ 3.200,00 
1474;03/05/2019;3; R$ 1.099,00 ;2; R$ 2.198,00 
1475;03/05/2019;1; R$ 1.499,50 ;1; R$ 1.499,50 
1476;03/05/2019;4; R$ 799,90 ;3; R$ 2.399,70 
1477;04/05/2019;14; R$ 830,00 ;4; R$ 3.320,00 
1478;04/05/2019;9; R$ 1.899,00 ;2; R$ 3.798,00 
1479;04/05/2019;13; R$ 3.200,00 ;3; R$ 9.600,00 
1480;04/05/2019;15; R$ 750,00 ;5; R$ 3.750,00 
1481;04/05/2019;4; R$ 799,90 ;3; R$ 2.399,70 
1482;04/05/2019;28; R$ 180,00 ;2; R$ 360,00 
1483;04/05/2019;11; R$ 1.322,00 ;4; R$ 5.288,00 
1484;04/05/2019;20; R$ 4.500,00 ;2; R$ 9.000,00 
1485;04/05/2019;8; R$ 2.300,00 ;2; R$ 4.600,00 
1486;04/05/2019;4; R$ 799,90 ;4; R$ 3.199,60 
1487;04/05/2019;11; R$ 1.322,00 ;4; R$ 5.288,00 
1488;04/05/2019;15; R$ 750,00 ;2; R$ 1.500,00 
1489;05/05/2019;29; R$ 85,00 ;5; R$ 425,00 
1490;05/05/2019;7; R$ 1.200,00 ;5; R$ 6.000,00 
1491;05/05/2019;18; R$ 335,00 ;5; R$ 1.675,00 
1492;05/05/2019;19; R$ 334,00 ;4; R$ 1.336,00 
1493;05/05/2019;8; R$ 2.300,00 ;4; R$ 9.200,00 
1494;05/05/2019;1; R$ 1.499,50 ;3; R$ 4.498,50 
1495;05/05/2019;6; R$ 1.190,50 ;5; R$ 5.952,50 
1496;05/05/2019;11; R$ 1.322,00 ;5; R$ 6.610,00 
1497;05/05/2019;8; R$ 2.300,00 ;2; R$ 4.600,00 
1498;05/05/2019;2; R$ 1.899,50 ;2; R$ 3.799,00 
1499;05/05/2019;3; R$ 1.099,00 ;3; R$ 3.297,00 
1500;05/05/2019;1; R$ 1.499,50 ;5; R$ 7.497,50 
1501;06/05/2019;18; R$ 335,00 ;3; R$ 1.005,00 
1502;06/05/2019;27; R$ 120,00 ;4; R$ 480,00 
1503;06/05/2019;21; R$ 360,00 ;5; R$ 1.800,00 
1504;06/05/2019;10; R$ 1.199,00 ;4; R$ 4.796,00 
1505;06/05/2019;1; R$ 1.499,50 ;5; R$ 7.497,50 
1506;06/05/2019;7; R$ 1.200,00 ;3; R$ 3.600,00 
