CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
1813;01/06/2019;12;R$ 4.500,00;3;R$ 13.500,00
1814;01/06/2019;4;R$ 799,90;5;R$ 3.999,50
1815;01/06/2019;30;R$ 515,00;5;R$ 2.575,00
1816;01/06/2019;13;R$ 3.200,00;3;R$ 9.600,00
1817;01/06/2019;8;R$ 2.300,00;3;R$ 6.900,00
1818;01/06/2019;25;R$ 180,00;5;R$ 900,00
1819;01/06/2019;6;R$ 1.190,50;2;R$ 2.381,00
1820;01/06/2019;19;R$ 334,00;1;R$ 334,00
1821;01/06/2019;15;R$ 750,00;2;R$ 1.500,00
1822;01/06/2019;8;R$ 2.300,00;2;R$ 4.600,00
1823;01/06/2019;23;R$ 800,00;1;R$ 800,00
1824;01/06/2019;12;R$ 4.500,00;4;R$ 18.000,00
1825;02/06/2019;1;R$ 1.499,50;5;R$ 7.497,50
1826;02/06/2019;18;R$ 335,00;5;R$ 1.675,00
1827;02/06/2019;22;R$ 1.150,00;3;R$ 3.450,00
1828;02/06/2019;29;R$ 85,00;2;R$ 170,00
1829;02/06/2019;14;R$ 830,00;5;R$ 4.150,00
1830;02/06/2019;16;R$ 790,00;4;R$ 3.160,00
1831;02/06/2019;1;R$ 1.499,50;2;R$ 2.999,00
1832;02/06/2019;28;R$ 180,00;1;R$ 180,00
1833;02/06/2019;29;R$ 85,00;4;R$ 340,00
1834;02/06/2019;17;R$ 1.340,00;1;R$ 1.340,00
1835;02/06/2019;30;R$ 515,00;5;R$ 2.575,00
1836;02/06/2019;25;R$ 180,00;3;R$ 540,00
1837;03/06/2019;14;R$ 830,00;4;R$ 3.320,00
1838;03/06/2019;22;R$ 1.150,00;1;R$ 1.150,00
1839;03/06/2019;5;R$ 899,90;4;R$ 3.599,60
1840;03/06/2019;31;R$ 2.300,00;1;R$ 2.300,00
1841;03/06/2019;17;R$ 1.340,00;3;R$ 4.020,00
1842;03/06/2019;11;R$ 1.322,00;5;R$ 6.610,00
1843;03/06/2019;14;R$ 830,00;1;R$ 830,00
1844;03/06/2019;2;R$ 1.899,50;5;R$ 9.497,50
1845;03/06/2019;12;R$ 4.500,00;1;R$ 4.500,00
1846;03/06/2019;28;R$ 180,00;2;R$ 360,00
1847;03/06/2019;7;R$ 1.200,00;4;R$ 4.800,00
1848;03/06/2019;31;R$ 2.300,00;2;R$ 4.600,00
1849;04/06/2019;9;R$ 1.899,00;5;R$ 9.495,00
1850;04/06/2019;22;R$ 1.150,00;1;R$ 1.150,00
1851;04/06/2019;11;R$ 1.322,00;2;R$ 2.644,00
1852;04/06/2019;1;R$ 1.499,50;3;R$ 4.498,50
1853;04/06/2019;23;R$ 800,00;2;R$ 1.600,00
1854;04/06/2019;18;R$ 335,00;1;R$ 335,00
1855;04/06/2019;4;R$ 799,90;3;R$ 2.399,70
1856;04/06/2019;16;R$ 790,00;2;R$ 1.580,00
1857;04/06/2019;22;R$ 1.150,00;4;R$ 4.600,00
1858;04/06/2019;6;R$ 1.190,50;5;R$ 5.952,50
1859;04/06/2019;24;R$ 480,00;5;R$ 2.400,00
1860;04/06/2019;11;R$ 1.322,00;1;R$ 1.322,00
1861;05/06/2019;29;R$ 85,00;3;R$ 255,00
1862;05/06/2019;22;R$ 1.150,00;2;R$ 2.300,00
1863;05/06/2019;18;R$ 335,00;4;R$ 1.340,00
1864;05/06/2019;27;R$ 120,00;2;R$ 240,00
1865;05/06/2019;25;R$ 180,00;2;R$ 360,00
1866;05/06/2019;14;R$ 830,00;5;R$ 4.150,00
1867;05/06/2019;19;R$ 334,00;4;R$ 1.336,00
1868;05/06/2019;23;R$ 800,00;4;R$ 3.200,00
1869;05/06/2019;8;R$ 2.300,00;5;R$ 11.500,00
1870;05/06/2019;2;R$ 1.899,50;5;R$ 9.497,50
1871;05/06/2019;10;R$ 1.199,00;3;R$ 3.597,00
1872;05/06/2019;18;R$ 335,00;3;R$ 1.005,00
1873;06/06/2019;11;R$ 1.322,00;4;R$ 5.288,00
1874;06/06/2019;9;R$ 1.899,00;5;R$ 9.495,00
1875;06/06/2019;1;R$ 1.499,50;1;R$ 1.499,50
1876;06/06/2019;18;R$ 335,00;2;R$ 670,00
1877;06/06/2019;10;R$ 1.199,00;1;R$ 1.199,00
1878;06/06/2019;6;R$ 1.190,50;4;R$ 4.762,00
1879;06/06/2019;6;R$ 1.190,50;3;R$ 3.571,50
1880;06/06/2019;3;R$ 1.099,00;3;R$ 3.297,00
1881;06/06/2019;6;R$ 1.190,50;4;R$ 4.762,00
1882;06/06/2019;28;R$ 180,00;3;R$ 540,00
1883;06/06/2019;13;R$ 3.200,00;1;R$ 3.200,00
1884;06/06/2019;6;R$ 1.190,50;5;R$ 5.952,50
1885;07/06/2019;31;R$ 2.300,00;4;R$ 9.200,00
