CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
2545;01/08/2019;25;R$ 180,00;4;R$ 720,00
2546;01/08/2019;27;R$ 120,00;4;R$ 480,00
2547;01/08/2019;30;R$ 515,00;5;R$ 2.575,00
2548;01/08/2019;23;R$ 800,00;1;R$ 800,00
2549;01/08/2019;23;R$ 800,00;4;R$ 3.200,00
2550;01/08/2019;5;R$ 899,90;1;R$ 899,90
2551;01/08/2019;21;R$ 360,00;2;R$ 720,00
2552;01/08/2019;8;R$ 2.300,00;3;R$ 6.900,00
2553;01/08/2019;30;R$ 515,00;1;R$ 515,00
2554;01/08/2019;9;R$ 1.899,00;3;R$ 5.697,00
2555;01/08/2019;15;R$ 750,00;1;R$ 750,00
2556;01/08/2019;32;R$ 2.400,00;2;R$ 4.800,00
2557;02/08/2019;24;R$ 480,00;1;R$ 480,00
2558;02/08/2019;10;R$ 1.199,00;5;R$ 5.995,00
2559;02/08/2019;19;R$ 334,00;1;R$ 334,00
2560;02/08/2019;31;R$ 2.300,00;5;R$ 11.500,00
2561;02/08/2019;23;R$ 800,00;5;R$ 4.000,00
2562;02/08/2019;25;R$ 180,00;5;R$ 900,00
2563;02/08/2019;32;R$ 2.400,00;1;R$ 2.400,00
2564;02/08/2019;28;R$ 180,00;4;R$ 720,00
2565;02/08/2019;15;R$ 750,00;1;R$ 750,00
2566;02/08/2019;2;R$ 1.899,50;4;R$ 7.598,00
2567;02/08/2019;4;R$ 799,90;2;R$ 1.599,80
2568;02/08/2019;27;R$ 120,00;4;R$ 480,00
2569;03/08/2019;29;R$ 85,00;2;R$ 170,00
2570;03/08/2019;30;R$ 515,00;4;R$ 2.060,00
2571;03/08/2019;15;R$ 750,00;1;R$ 750,00
2572;03/08/2019;11;R$ 1.322,00;5;R$ 6.610,00
2573;03/08/2019;3;R$ 1.099,00;1;R$ 1.099,00
2574;03/08/2019;22;R$ 1.150,00;4;R$ 4.600,00
2575;03/08/2019;12;R$ 4.500,00;2;R$ 9.000,00
2576;03/08/2019;22;R$ 1.150,00;4;R$ 4.600,00
2577;03/08/2019;28;R$ 180,00;2;R$ 360,00
2578;03/08/2019;4;R$ 799,90;5;R$ 3.999,50
2579;03/08/2019;17;R$ 1.340,00;2;R$ 2.680,00
2580;03/08/2019;13;R$ 3.200,00;3;R$ 9.600,00
2581;04/08/2019;14;R$ 830,00;5;R$ 4.150,00
2582;04/08/2019;10;R$ 1.199,00;3;R$ 3.597,00
2583;04/08/2019;1;R$ 1.499,50;1;R$ 1.499,50
2584;04/08/2019;11;R$ 1.322,00;2;R$ 2.644,00
2585;04/08/2019;3;R$ 1.099,00;4;R$ 4.396,00
2586;04/08/2019;7;R$ 1.200,00;1;R$ 1.200,00
2587;04/08/2019;32;R$ 2.400,00;1;R$ 2.400,00
2588;04/08/2019;30;R$ 515,00;2;R$ 1.030,00
2589;04/08/2019;2;R$ 1.899,50;5;R$ 9.497,50
2590;04/08/2019;27;R$ 120,00;3;R$ 360,00
2591;04/08/2019;23;R$ 800,00;2;R$ 1.600,00
2592;04/08/2019;4;R$ 799,90;4;R$ 3.199,60
2593;05/08/2019;20;R$ 4.500,00;1;R$ 4.500,00
2594;05/08/2019;6;R$ 1.190,50;4;R$ 4.762,00
2595;05/08/2019;27;R$ 120,00;4;R$ 480,00
2596;05/08/2019;2;R$ 1.899,50;5;R$ 9.497,50
2597;05/08/2019;5;R$ 899,90;5;R$ 4.499,50
2598;05/08/2019;32;R$ 2.400,00;3;R$ 7.200,00
2599;05/08/2019;5;R$ 899,90;1;R$ 899,90
2600;05/08/2019;17;R$ 1.340,00;3;R$ 4.020,00
2601;05/08/2019;31;R$ 2.300,00;1;R$ 2.300,00
2602;05/08/2019;24;R$ 480,00;2;R$ 960,00
2603;05/08/2019;2;R$ 1.899,50;1;R$ 1.899,50
2604;05/08/2019;14;R$ 830,00;3;R$ 2.490,00
2605;06/08/2019;24;R$ 480,00;5;R$ 2.400,00
2606;06/08/2019;30;R$ 515,00;1;R$ 515,00
2607;06/08/2019;30;R$ 515,00;2;R$ 1.030,00
2608;06/08/2019;21;R$ 360,00;2;R$ 720,00
2609;06/08/2019;7;R$ 1.200,00;3;R$ 3.600,00
2610;06/08/2019;8;R$ 2.300,00;5;R$ 11.500,00
2611;06/08/2019;16;R$ 790,00;3;R$ 2.370,00
2612;06/08/2019;5;R$ 899,90;4;R$ 3.599,60
2613;06/08/2019;2;R$ 1.899,50;1;R$ 1.899,50
2614;06/08/2019;15;R$ 750,00;2;R$ 1.500,00
2615;06/08/2019;27;R$ 120,00;3;R$ 360,00
2616;06/08/2019;1;R$ 1.499,50;4;R$ 5.998,00
2617;07/08/2019;23;R$ 800,00;5;R$ 4.000,00
2618;07/08/2019;29;R$ 85,00;2;R$ 170,00
2619;07/08/2019;12;R$ 4.500,00;4;R$ 18.000,00
2620;07/08/2019;4;R$ 799,90;5;R$ 3.999,50
2621;07/08/2019;23;R$ 800,00;5;R$ 4.000,00
2622;07/08/2019;5;R$ 899,90;4;R$ 3.599,60
2623;07/08/2019;27;R$ 120,00;4;R$ 480,00
2624;07/08/2019;27;R$ 120,00;4;R$ 480,00
2625;07/08/2019;21;R$ 360,00;3;R$ 1.080,00
2626;07/08/2019;20;R$ 4.500,00;1;R$ 4.500,00
2627;07/08/2019;4;R$ 799,90;2;R$ 1.599,80
2628;07/08/2019;15;R$ 750,00;5;R$ 3.750,00
2629;08/08/2019;1;R$ 1.499,50;3;R$ 4.498,50
2630;08/08/2019;7;R$ 1.200,00;1;R$ 1.200,00
2631;08/08/2019;17;R$ 1.340,00;2;R$ 2.680,00
2632;08/08/2019;21;R$ 360,00;3;R$ 1.080,00
2633;08/08/2019;26;R$ 225,00;1;R$ 225,00
2634;08/08/2019;6;R$ 1.190,50;2;R$ 2.381,00
2635;08/08/2019;14;R$ 830,00;3;R$ 2.490,00
2636;08/08/2019;30;R$ 515,00;1;R$ 515,00
2637;08/08/2019;13;R$ 3.200,00;3;R$ 9.600,00
2638;08/08/2019;12;R$ 4.500,00;5;R$ 22.500,00
2639;08/08/2019;9;R$ 1.899,00;5;R$ 9.495,00
2640;08/08/2019;9;R$ 1.899,00;4;R$ 7.596,00
2641;09/08/2019;29;R$ 85,00;3;R$ 255,00
