CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
2917;01/09/2019;4;R$ 799,90;3;R$ 2.399,70
2918;01/09/2019;25;R$ 180,00;4;R$ 720,00
2919;01/09/2019;16;R$ 790,00;3;R$ 2.370,00
2920;01/09/2019;18;R$ 335,00;1;R$ 335,00
2921;01/09/2019;32;R$ 2.400,00;4;R$ 9.600,00
2922;01/09/2019;28;R$ 180,00;3;R$ 540,00
2923;01/09/2019;28;R$ 180,00;4;R$ 720,00
2924;01/09/2019;13;R$ 3.200,00;5;R$ 16.000,00
2925;01/09/2019;4;R$ 799,90;3;R$ 2.399,70
2926;01/09/2019;31;R$ 2.300,00;1;R$ 2.300,00
2927;01/09/2019;24;R$ 480,00;2;R$ 960,00
2928;01/09/2019;23;R$ 800,00;4;R$ 3.200,00
2929;02/09/2019;19;R$ 334,00;1;R$ 334,00
2930;02/09/2019;18;R$ 335,00;5;R$ 1.675,00
2931;02/09/2019;25;R$ 180,00;1;R$ 180,00
2932;02/09/2019;16;R$ 790,00;2;R$ 1.580,00
2933;02/09/2019;23;R$ 800,00;2;R$ 1.600,00
2934;02/09/2019;17;R$ 1.340,00;3;R$ 4.020,00
2935;02/09/2019;4;R$ 799,90;2;R$ 1.599,80
2936;02/09/2019;19;R$ 334,00;4;R$ 1.336,00
2937;02/09/2019;32;R$ 2.400,00;1;R$ 2.400,00
2938;02/09/2019;6;R$ 1.190,50;2;R$ 2.381,00
2939;02/09/2019;15;R$ 750,00;1;R$ 750,00
2940;02/09/2019;25;R$ 180,00;4;R$ 720,00
2941;03/09/2019;8;R$ 2.300,00;3;R$ 6.900,00
2942;03/09/2019;5;R$ 899,90;4;R$ 3.599,60
2943;03/09/2019;28;R$ 180,00;1;R$ 180,00
2944;03/09/2019;4;R$ 799,90;3;R$ 2.399,70
2945;03/09/2019;2;R$ 1.899,50;5;R$ 9.497,50
2946;03/09/2019;4;R$ 799,90;5;R$ 3.999,50
2947;03/09/2019;27;R$ 120,00;3;R$ 360,00
2948;03/09/2019;17;R$ 1.340,00;3;R$ 4.020,00
2949;03/09/2019;11;R$ 1.322,00;1;R$ 1.322,00
2950;03/09/2019;20;R$ 4.500,00;4;R$ 18.000,00
2951;03/09/2019;7;R$ 1.200,00;3;R$ 3.600,00
2952;03/09/2019;28;R$ 180,00;3;R$ 540,00
2953;04/09/2019;15;R$ 750,00;2;R$ 1.500,00
2954;04/09/2019;23;R$ 800,00;1;R$ 800,00
2955;04/09/2019;13;R$ 3.200,00;3;R$ 9.600,00
2956;04/09/2019;19;R$ 334,00;2;R$ 668,00
2957;04/09/2019;13;R$ 3.200,00;3;R$ 9.600,00
2958;04/09/2019;14;R$ 830,00;2;R$ 1.660,00
2959;04/09/2019;19;R$ 334,00;3;R$ 1.002,00
2960;04/09/2019;27;R$ 120,00;1;R$ 120,00
2961;04/09/2019;2;R$ 1.899,50;5;R$ 9.497,50
2962;04/09/2019;32;R$ 2.400,00;5;R$ 12.000,00
2963;04/09/2019;22;R$ 1.150,00;3;R$ 3.450,00
2964;04/09/2019;29;R$ 85,00;3;R$ 255,00
2965;05/09/2019;24;R$ 480,00;5;R$ 2.400,00
2966;05/09/2019;15;R$ 750,00;3;R$ 2.250,00
2967;05/09/2019;9;R$ 1.899,00;5;R$ 9.495,00
2968;05/09/2019;5;R$ 899,90;4;R$ 3.599,60
2969;05/09/2019;10;R$ 1.199,00;2;R$ 2.398,00
2970;05/09/2019;27;R$ 120,00;5;R$ 600,00
2971;05/09/2019;6;R$ 1.190,50;4;R$ 4.762,00
2972;05/09/2019;21;R$ 360,00;2;R$ 720,00
2973;05/09/2019;21;R$ 360,00;4;R$ 1.440,00
2974;05/09/2019;8;R$ 2.300,00;3;R$ 6.900,00
2975;05/09/2019;17;R$ 1.340,00;3;R$ 4.020,00
2976;05/09/2019;13;R$ 3.200,00;4;R$ 12.800,00
2977;06/09/2019;22;R$ 1.150,00;4;R$ 4.600,00
2978;06/09/2019;8;R$ 2.300,00;3;R$ 6.900,00
2979;06/09/2019;12;R$ 4.500,00;1;R$ 4.500,00
2980;06/09/2019;9;R$ 1.899,00;3;R$ 5.697,00
2981;06/09/2019;22;R$ 1.150,00;2;R$ 2.300,00
2982;06/09/2019;8;R$ 2.300,00;1;R$ 2.300,00
2983;06/09/2019;17;R$ 1.340,00;3;R$ 4.020,00
2984;06/09/2019;4;R$ 799,90;5;R$ 3.999,50
2985;06/09/2019;1;R$ 1.499,50;4;R$ 5.998,00
2986;06/09/2019;27;R$ 120,00;4;R$ 480,00
2987;06/09/2019;8;R$ 2.300,00;2;R$ 4.600,00
2988;06/09/2019;32;R$ 2.400,00;4;R$ 9.600,00
2989;07/09/2019;1;R$ 1.499,50;3;R$ 4.498,50
2990;07/09/2019;10;R$ 1.199,00;2;R$ 2.398,00
2991;07/09/2019;30;R$ 515,00;4;R$ 2.060,00
2992;07/09/2019;28;R$ 180,00;3;R$ 540,00
2993;07/09/2019;31;R$ 2.300,00;4;R$ 9.200,00
2994;07/09/2019;2;R$ 1.899,50;5;R$ 9.497,50
2995;07/09/2019;16;R$ 790,00;5;R$ 3.950,00
2996;07/09/2019;17;R$ 1.340,00;3;R$ 4.020,00
2997;07/09/2019;26;R$ 225,00;5;R$ 1.125,00
2998;07/09/2019;30;R$ 515,00;5;R$ 2.575,00
2999;07/09/2019;31;R$ 2.300,00;3;R$ 6.900,00
3000;07/09/2019;20;R$ 4.500,00;3;R$ 13.500,00
3001;08/09/2019;17;R$ 1.340,00;4;R$ 5.360,00
3002;08/09/2019;25;R$ 180,00;4;R$ 720,00
3003;08/09/2019;24;R$ 480,00;3;R$ 1.440,00
3004;08/09/2019;23;R$ 800,00;5;R$ 4.000,00
3005;08/09/2019;32;R$ 2.400,00;3;R$ 7.200,00
3006;08/09/2019;18;R$ 335,00;1;R$ 335,00
3007;08/09/2019;10;R$ 1.199,00;3;R$ 3.597,00
3008;08/09/2019;29;R$ 85,00;2;R$ 170,00
3009;08/09/2019;15;R$ 750,00;1;R$ 750,00
3010;08/09/2019;31;R$ 2.300,00;5;R$ 11.500,00
3011;08/09/2019;10;R$ 1.199,00;2;R$ 2.398,00
3012;08/09/2019;21;R$ 360,00;1;R$ 360,00
3013;09/09/2019;4;R$ 799,90;4;R$ 3.199,60
3014;09/09/2019;3;R$ 1.099,00;4;R$ 4.396,00
3015;09/09/2019;26;R$ 225,00;2;R$ 450,00
3016;09/09/2019;12;R$ 4.500,00;3;R$ 13.500,00
3017;09/09/2019;28;R$ 180,00;1;R$ 180,00
3018;09/09/2019;26;R$ 225,00;5;R$ 1.125,00
3019;09/09/2019;19;R$ 334,00;3;R$ 1.002,00
3020;09/09/2019;9;R$ 1.899,00;5;R$ 9.495,00
3021;09/09/2019;4;R$ 799,90;1;R$ 799,90
3022;09/09/2019;24;R$ 480,00;1;R$ 480,00
3023;09/09/2019;1;R$ 1.499,50;1;R$ 1.499,50
3024;09/09/2019;13;R$ 3.200,00;5;R$ 16.000,00
3025;10/09/2019;6;R$ 1.190,50;5;R$ 5.952,50
3026;10/09/2019;24;R$ 480,00;3;R$ 1.440,00
3027;10/09/2019;30;R$ 515,00;5;R$ 2.575,00
3028;10/09/2019;9;R$ 1.899,00;4;R$ 7.596,00
3029;10/09/2019;24;R$ 480,00;3;R$ 1.440,00
3030;10/09/2019;13;R$ 3.200,00;4;R$ 12.800,00
3031;10/09/2019;3;R$ 1.099,00;3;R$ 3.297,00
3032;10/09/2019;6;R$ 1.190,50;4;R$ 4.762,00
3033;10/09/2019;32;R$ 2.400,00;3;R$ 7.200,00
3034;10/09/2019;21;R$ 360,00;1;R$ 360,00
3035;10/09/2019;24;R$ 480,00;5;R$ 2.400,00
3036;10/09/2019;10;R$ 1.199,00;1;R$ 1.199,00
3037;11/09/2019;2;R$ 1.899,50;5;R$ 9.497,50
3038;11/09/2019;30;R$ 515,00;5;R$ 2.575,00
3039;11/09/2019;5;R$ 899,90;3;R$ 2.699,70
3040;11/09/2019;32;R$ 2.400,00;5;R$ 12.000,00
3041;11/09/2019;31;R$ 2.300,00;1;R$ 2.300,00
3042;11/09/2019;9;R$ 1.899,00;3;R$ 5.697,00
3043;11/09/2019;26;R$ 225,00;1;R$ 225,00
3044;11/09/2019;22;R$ 1.150,00;2;R$ 2.300,00
3045;11/09/2019;23;R$ 800,00;5;R$ 4.000,00
3046;11/09/2019;9;R$ 1.899,00;1;R$ 1.899,00
3047;11/09/2019;5;R$ 899,90;2;R$ 1.799,80
3048;11/09/2019;16;R$ 790,00;1;R$ 790,00
3049;12/09/2019;22;R$ 1.150,00;4;R$ 4.600,00
3050;12/09/2019;19;R$ 334,00;4;R$ 1.336,00
3051;12/09/2019;11;R$ 1.322,00;3;R$ 3.966,00
3052;12/09/2019;32;R$ 2.400,00;3;R$ 7.200,00
3053;12/09/2019;13;R$ 3.200,00;1;R$ 3.200,00
3054;12/09/2019;9;R$ 1.899,00;3;R$ 5.697,00
3055;12/09/2019;28;R$ 180,00;1;R$ 180,00
3056;12/09/2019;25;R$ 180,00;2;R$ 360,00
3057;12/09/2019;28;R$ 180,00;1;R$ 180,00
3058;12/09/2019;3;R$ 1.099,00;5;R$ 5.495,00
3059;12/09/2019;13;R$ 3.200,00;3;R$ 9.600,00
3060;12/09/2019;11;R$ 1.322,00;2;R$ 2.644,00
3061;13/09/2019;18;R$ 335,00;5;R$ 1.675,00
3062;13/09/2019;28;R$ 180,00;2;R$ 360,00
3063;13/09/2019;17;R$ 1.340,00;1;R$ 1.340,00
3064;13/09/2019;2;R$ 1.899,50;3;R$ 5.698,50
3065;13/09/2019;3;R$ 1.099,00;5;R$ 5.495,00
3066;13/09/2019;28;R$ 180,00;4;R$ 720,00
3067;13/09/2019;3;R$ 1.099,00;3;R$ 3.297,00
3068;13/09/2019;30;R$ 515,00;1;R$ 515,00
3069;13/09/2019;1;R$ 1.499,50;5;R$ 7.497,50
3070;13/09/2019;12;R$ 4.500,00;4;R$ 18.000,00
3071;13/09/2019;8;R$ 2.300,00;1;R$ 2.300,00
3072;13/09/2019;16;R$ 790,00;3;R$ 2.370,00
3073;14/09/2019;28;R$ 180,00;1;R$ 180,00
3074;14/09/2019;4;R$ 799,90;1;R$ 799,90
3075;14/09/2019;24;R$ 480,00;4;R$ 1.920,00
3076;14/09/2019;23;R$ 800,00;3;R$ 2.400,00
3077;14/09/2019;16;R$ 790,00;4;R$ 3.160,00
3078;14/09/2019;21;R$ 360,00;3;R$ 1.080,00
3079;14/09/2019;32;R$ 2.400,00;3;R$ 7.200,00
3080;14/09/2019;13;R$ 3.200,00;3;R$ 9.600,00
3081;14/09/2019;10;R$ 1.199,00;1;R$ 1.199,00
3082;14/09/2019;32;R$ 2.400,00;3;R$ 7.200,00
3083;14/09/2019;30;R$ 515,00;3;R$ 1.545,00
3084;14/09/2019;27;R$ 120,00;3;R$ 360,00
3085;15/09/2019;21;R$ 360,00;3;R$ 1.080,00
3086;15/09/2019;31;R$ 2.300,00;4;R$ 9.200,00
3087;15/09/2019;1;R$ 1.499,50;5;R$ 7.497,50
3088;15/09/2019;17;R$ 1.340,00;2;R$ 2.680,00
3089;15/09/2019;27;R$ 120,00;5;R$ 600,00
3090;15/09/2019;14;R$ 830,00;1;R$ 830,00
3091;15/09/2019;32;R$ 2.400,00;1;R$ 2.400,00
3092;15/09/2019;22;R$ 1.150,00;5;R$ 5.750,00
3093;15/09/2019;22;R$ 1.150,00;5;R$ 5.750,00
3094;15/09/2019;27;R$ 120,00;5;R$ 600,00
3095;15/09/2019;26;R$ 225,00;3;R$ 675,00
3096;15/09/2019;26;R$ 225,00;2;R$ 450,00
3097;16/09/2019;27;R$ 120,00;1;R$ 120,00
3098;16/09/2019;15;R$ 750,00;1;R$ 750,00
3099;16/09/2019;9;R$ 1.899,00;2;R$ 3.798,00
3100;16/09/2019;22;R$ 1.150,00;5;R$ 5.750,00
3101;16/09/2019;16;R$ 790,00;1;R$ 790,00
3102;16/09/2019;2;R$ 1.899,50;4;R$ 7.598,00
3103;16/09/2019;32;R$ 2.400,00;2;R$ 4.800,00
3104;16/09/2019;22;R$ 1.150,00;5;R$ 5.750,00
