CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
3649;01/11/2019;6;R$ 1.190,50;4;R$ 4.762,00
3650;01/11/2019;8;R$ 2.300,00;1;R$ 2.300,00
3651;01/11/2019;16;R$ 790,00;1;R$ 790,00
3652;01/11/2019;17;R$ 1.340,00;4;R$ 5.360,00
3653;01/11/2019;1;R$ 1.499,50;2;R$ 2.999,00
3654;01/11/2019;5;R$ 899,90;2;R$ 1.799,80
3655;01/11/2019;6;R$ 1.190,50;2;R$ 2.381,00
3656;01/11/2019;25;R$ 180,00;1;R$ 180,00
3657;01/11/2019;18;R$ 335,00;4;R$ 1.340,00
3658;01/11/2019;24;R$ 480,00;4;R$ 1.920,00
3659;01/11/2019;30;R$ 515,00;2;R$ 1.030,00
3660;01/11/2019;6;R$ 1.190,50;1;R$ 1.190,50
3661;02/11/2019;21;R$ 360,00;4;R$ 1.440,00
3662;02/11/2019;2;R$ 1.899,50;4;R$ 7.598,00
3663;02/11/2019;21;R$ 360,00;1;R$ 360,00
3664;02/11/2019;30;R$ 515,00;3;R$ 1.545,00
3665;02/11/2019;18;R$ 335,00;5;R$ 1.675,00
3666;02/11/2019;9;R$ 1.899,00;4;R$ 7.596,00
3667;02/11/2019;13;R$ 3.200,00;2;R$ 6.400,00
3668;02/11/2019;24;R$ 480,00;1;R$ 480,00
3669;02/11/2019;6;R$ 1.190,50;1;R$ 1.190,50
3670;02/11/2019;15;R$ 750,00;3;R$ 2.250,00
3671;02/11/2019;9;R$ 1.899,00;3;R$ 5.697,00
3672;02/11/2019;8;R$ 2.300,00;5;R$ 11.500,00
3673;03/11/2019;6;R$ 1.190,50;1;R$ 1.190,50
3674;03/11/2019;8;R$ 2.300,00;4;R$ 9.200,00
3675;03/11/2019;20;R$ 4.500,00;5;R$ 22.500,00
3676;03/11/2019;22;R$ 1.150,00;3;R$ 3.450,00
3677;03/11/2019;19;R$ 334,00;3;R$ 1.002,00
3678;03/11/2019;14;R$ 830,00;4;R$ 3.320,00
3679;03/11/2019;8;R$ 2.300,00;5;R$ 11.500,00
3680;03/11/2019;14;R$ 830,00;2;R$ 1.660,00
3681;03/11/2019;3;R$ 1.099,00;4;R$ 4.396,00
3682;03/11/2019;14;R$ 830,00;3;R$ 2.490,00
3683;03/11/2019;21;R$ 360,00;2;R$ 720,00
3684;03/11/2019;21;R$ 360,00;2;R$ 720,00
3685;04/11/2019;14;R$ 830,00;5;R$ 4.150,00
3686;04/11/2019;18;R$ 335,00;1;R$ 335,00
3687;04/11/2019;11;R$ 1.322,00;4;R$ 5.288,00
3688;04/11/2019;8;R$ 2.300,00;2;R$ 4.600,00
3689;04/11/2019;31;R$ 2.300,00;3;R$ 6.900,00
3690;04/11/2019;31;R$ 2.300,00;2;R$ 4.600,00
3691;04/11/2019;31;R$ 2.300,00;2;R$ 4.600,00
3692;04/11/2019;11;R$ 1.322,00;3;R$ 3.966,00
3693;04/11/2019;28;R$ 180,00;3;R$ 540,00
3694;04/11/2019;19;R$ 334,00;2;R$ 668,00
3695;04/11/2019;32;R$ 2.400,00;4;R$ 9.600,00
3696;04/11/2019;26;R$ 225,00;5;R$ 1.125,00
3697;05/11/2019;9;R$ 1.899,00;2;R$ 3.798,00
3698;05/11/2019;20;R$ 4.500,00;2;R$ 9.000,00
3699;05/11/2019;18;R$ 335,00;3;R$ 1.005,00
3700;05/11/2019;25;R$ 180,00;2;R$ 360,00
3701;05/11/2019;9;R$ 1.899,00;1;R$ 1.899,00
3702;05/11/2019;13;R$ 3.200,00;2;R$ 6.400,00
3703;05/11/2019;18;R$ 335,00;2;R$ 670,00
3704;05/11/2019;24;R$ 480,00;4;R$ 1.920,00
3705;05/11/2019;9;R$ 1.899,00;4;R$ 7.596,00
3706;05/11/2019;4;R$ 799,90;1;R$ 799,90
3707;05/11/2019;3;R$ 1.099,00;3;R$ 3.297,00
3708;05/11/2019;16;R$ 790,00;2;R$ 1.580,00
3709;06/11/2019;23;R$ 800,00;4;R$ 3.200,00
3710;06/11/2019;12;R$ 4.500,00;5;R$ 22.500,00
3711;06/11/2019;11;R$ 1.322,00;4;R$ 5.288,00
3712;06/11/2019;12;R$ 4.500,00;4;R$ 18.000,00
3713;06/11/2019;13;R$ 3.200,00;5;R$ 16.000,00
3714;06/11/2019;28;R$ 180,00;2;R$ 360,00
3715;06/11/2019;29;R$ 85,00;4;R$ 340,00
3716;06/11/2019;20;R$ 4.500,00;5;R$ 22.500,00
3717;06/11/2019;13;R$ 3.200,00;5;R$ 16.000,00
3718;06/11/2019;24;R$ 480,00;1;R$ 480,00
3719;06/11/2019;9;R$ 1.899,00;3;R$ 5.697,00
3720;06/11/2019;25;R$ 180,00;5;R$ 900,00
3721;07/11/2019;11;R$ 1.322,00;1;R$ 1.322,00
3722;07/11/2019;14;R$ 830,00;5;R$ 4.150,00
3723;07/11/2019;16;R$ 790,00;4;R$ 3.160,00
