CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
3277;01/10/2019;12;R$ 4.500,00;4;R$ 18.000,00
3278;01/10/2019;2;R$ 1.899,50;2;R$ 3.799,00
3279;01/10/2019;24;R$ 480,00;3;R$ 1.440,00
3280;01/10/2019;5;R$ 899,90;4;R$ 3.599,60
3281;01/10/2019;16;R$ 790,00;2;R$ 1.580,00
3282;01/10/2019;12;R$ 4.500,00;2;R$ 9.000,00
3283;01/10/2019;7;R$ 1.200,00;3;R$ 3.600,00
3284;01/10/2019;22;R$ 1.150,00;4;R$ 4.600,00
3285;01/10/2019;29;R$ 85,00;3;R$ 255,00
3286;01/10/2019;10;R$ 1.199,00;2;R$ 2.398,00
3287;01/10/2019;32;R$ 2.400,00;2;R$ 4.800,00
3288;01/10/2019;19;R$ 334,00;1;R$ 334,00
3289;02/10/2019;4;R$ 799,90;5;R$ 3.999,50
3290;02/10/2019;16;R$ 790,00;3;R$ 2.370,00
3291;02/10/2019;2;R$ 1.899,50;1;R$ 1.899,50
3292;02/10/2019;19;R$ 334,00;2;R$ 668,00
3293;02/10/2019;32;R$ 2.400,00;5;R$ 12.000,00
3294;02/10/2019;31;R$ 2.300,00;4;R$ 9.200,00
3295;02/10/2019;5;R$ 899,90;2;R$ 1.799,80
3296;02/10/2019;16;R$ 790,00;4;R$ 3.160,00
3297;02/10/2019;10;R$ 1.199,00;4;R$ 4.796,00
3298;02/10/2019;1;R$ 1.499,50;3;R$ 4.498,50
3299;02/10/2019;8;R$ 2.300,00;4;R$ 9.200,00
3300;02/10/2019;28;R$ 180,00;5;R$ 900,00
3301;03/10/2019;27;R$ 120,00;3;R$ 360,00
3302;03/10/2019;20;R$ 4.500,00;2;R$ 9.000,00
3303;03/10/2019;9;R$ 1.899,00;3;R$ 5.697,00
3304;03/10/2019;9;R$ 1.899,00;1;R$ 1.899,00
3305;03/10/2019;14;R$ 830,00;2;R$ 1.660,00
3306;03/10/2019;12;R$ 4.500,00;3;R$ 13.500,00
3307;03/10/2019;25;R$ 180,00;5;R$ 900,00
3308;03/10/2019;27;R$ 120,00;5;R$ 600,00
3309;03/10/2019;9;R$ 1.899,00;4;R$ 7.596,00
3310;03/10/2019;25;R$ 180,00;2;R$ 360,00
3311;03/10/2019;25;R$ 180,00;1;R$ 180,00
3312;03/10/2019;23;R$ 800,00;2;R$ 1.600,00
3313;04/10/2019;1;R$ 1.499,50;1;R$ 1.499,50
3314;04/10/2019;6;R$ 1.190,50;3;R$ 3.571,50
3315;04/10/2019;14;R$ 830,00;3;R$ 2.490,00
3316;04/10/2019;9;R$ 1.899,00;5;R$ 9.495,00
3317;04/10/2019;12;R$ 4.500,00;4;R$ 18.000,00
3318;04/10/2019;27;R$ 120,00;5;R$ 600,00
3319;04/10/2019;2;R$ 1.899,50;2;R$ 3.799,00
3320;04/10/2019;30;R$ 515,00;2;R$ 1.030,00
3321;04/10/2019;12;R$ 4.500,00;3;R$ 13.500,00
3322;04/10/2019;22;R$ 1.150,00;5;R$ 5.750,00
3323;04/10/2019;19;R$ 334,00;5;R$ 1.670,00
3324;04/10/2019;1;R$ 1.499,50;4;R$ 5.998,00
3325;05/10/2019;32;R$ 2.400,00;4;R$ 9.600,00
3326;05/10/2019;30;R$ 515,00;4;R$ 2.060,00
3327;05/10/2019;19;R$ 334,00;1;R$ 334,00
3328;05/10/2019;9;R$ 1.899,00;1;R$ 1.899,00
3329;05/10/2019;22;R$ 1.150,00;1;R$ 1.150,00
3330;05/10/2019;30;R$ 515,00;1;R$ 515,00
3331;05/10/2019;4;R$ 799,90;3;R$ 2.399,70
3332;05/10/2019;1;R$ 1.499,50;1;R$ 1.499,50
3333;05/10/2019;32;R$ 2.400,00;2;R$ 4.800,00
3334;05/10/2019;25;R$ 180,00;1;R$ 180,00
3335;05/10/2019;11;R$ 1.322,00;3;R$ 3.966,00
3336;05/10/2019;6;R$ 1.190,50;4;R$ 4.762,00
3337;06/10/2019;7;R$ 1.200,00;4;R$ 4.800,00
3338;06/10/2019;14;R$ 830,00;4;R$ 3.320,00
3339;06/10/2019;13;R$ 3.200,00;5;R$ 16.000,00
3340;06/10/2019;15;R$ 750,00;3;R$ 2.250,00
3341;06/10/2019;5;R$ 899,90;3;R$ 2.699,70
3342;06/10/2019;21;R$ 360,00;5;R$ 1.800,00
3343;06/10/2019;19;R$ 334,00;4;R$ 1.336,00
3344;06/10/2019;31;R$ 2.300,00;2;R$ 4.600,00
3345;06/10/2019;2;R$ 1.899,50;1;R$ 1.899,50
3346;06/10/2019;21;R$ 360,00;2;R$ 720,00
3347;06/10/2019;7;R$ 1.200,00;3;R$ 3.600,00
3348;06/10/2019;9;R$ 1.899,00;3;R$ 5.697,00
3349;07/10/2019;28;R$ 180,00;2;R$ 360,00
3350;07/10/2019;23;R$ 800,00;1;R$ 800,00
3351;07/10/2019;5;R$ 899,90;4;R$ 3.599,60
3352;07/10/2019;19;R$ 334,00;2;R$ 668,00
3353;07/10/2019;24;R$ 480,00;4;R$ 1.920,00
3354;07/10/2019;31;R$ 2.300,00;1;R$ 2.300,00
3355;07/10/2019;21;R$ 360,00;4;R$ 1.440,00
3356;07/10/2019;30;R$ 515,00;2;R$ 1.030,00
3357;07/10/2019;26;R$ 225,00;5;R$ 1.125,00
3358;07/10/2019;8;R$ 2.300,00;5;R$ 11.500,00
3359;07/10/2019;10;R$ 1.199,00;4;R$ 4.796,00
3360;07/10/2019;15;R$ 750,00;2;R$ 1.500,00
3361;08/10/2019;15;R$ 750,00;3;R$ 2.250,00
3362;08/10/2019;23;R$ 800,00;2;R$ 1.600,00
3363;08/10/2019;12;R$ 4.500,00;1;R$ 4.500,00
3364;08/10/2019;28;R$ 180,00;2;R$ 360,00
3365;08/10/2019;10;R$ 1.199,00;5;R$ 5.995,00
3366;08/10/2019;15;R$ 750,00;2;R$ 1.500,00
3367;08/10/2019;29;R$ 85,00;4;R$ 340,00
3368;08/10/2019;28;R$ 180,00;1;R$ 180,00
3369;08/10/2019;31;R$ 2.300,00;2;R$ 4.600,00
3370;08/10/2019;12;R$ 4.500,00;4;R$ 18.000,00
3371;08/10/2019;26;R$ 225,00;4;R$ 900,00
3372;08/10/2019;14;R$ 830,00;3;R$ 2.490,00
3373;09/10/2019;17;R$ 1.340,00;5;R$ 6.700,00
3374;09/10/2019;30;R$ 515,00;5;R$ 2.575,00
3375;09/10/2019;1;R$ 1.499,50;1;R$ 1.499,50
3376;09/10/2019;28;R$ 180,00;5;R$ 900,00
