CodVenda;Data;CodProduto;Preço;Quantidade;Subtotal
4009;01/12/2019;22;R$ 1.150,00;4;R$ 4.600,00
4010;01/12/2019;9;R$ 1.899,00;4;R$ 7.596,00
4011;01/12/2019;18;R$ 335,00;4;R$ 1.340,00
4012;01/12/2019;20;R$ 4.500,00;5;R$ 22.500,00
4013;01/12/2019;32;R$ 2.400,00;3;R$ 7.200,00
4014;01/12/2019;8;R$ 2.300,00;3;R$ 6.900,00
4015;01/12/2019;13;R$ 3.200,00;3;R$ 9.600,00
4016;01/12/2019;16;R$ 790,00;4;R$ 3.160,00
4017;01/12/2019;25;R$ 180,00;5;R$ 900,00
4018;01/12/2019;9;R$ 1.899,00;2;R$ 3.798,00
4019;01/12/2019;8;R$ 2.300,00;2;R$ 4.600,00
4020;01/12/2019;20;R$ 4.500,00;4;R$ 18.000,00
4021;02/12/2019;16;R$ 790,00;2;R$ 1.580,00
4022;02/12/2019;23;R$ 800,00;1;R$ 800,00
4023;02/12/2019;31;R$ 2.300,00;5;R$ 11.500,00
4024;02/12/2019;10;R$ 1.199,00;5;R$ 5.995,00
4025;02/12/2019;6;R$ 1.190,50;1;R$ 1.190,50
4026;02/12/2019;22;R$ 1.150,00;3;R$ 3.450,00
4027;02/12/2019;23;R$ 800,00;3;R$ 2.400,00
4028;02/12/2019;19;R$ 334,00;5;R$ 1.670,00
4029;02/12/2019;5;R$ 899,90;3;R$ 2.699,70
4030;02/12/2019;28;R$ 180,00;5;R$ 900,00
4031;02/12/2019;1;R$ 1.499,50;5;R$ 7.497,50
4032;02/12/2019;2;R$ 1.899,50;3;R$ 5.698,50
4033;03/12/2019;15;R$ 750,00;5;R$ 3.750,00
4034;03/12/2019;29;R$ 85,00;2;R$ 170,00
4035;03/12/2019;31;R$ 2.300,00;3;R$ 6.900,00
4036;03/12/2019;24;R$ 480,00;5;R$ 2.400,00
4037;03/12/2019;3;R$ 1.099,00;3;R$ 3.297,00
